Log: |Info| CurrentFPS = 4
Log: |Info| TestObject deleted
Log: |Info| CurrentFPS = 35
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 200
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 249
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 249
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 333
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 124
Log: |Info| CurrentFPS = 166
Log: |Info| CurrentFPS = 166
Log: |Info| CurrentFPS = 249
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 124
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 166
Log: |Info| CurrentFPS = 249
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 124
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 333
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 200
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 142
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 333
Log: |Info| CurrentFPS = 333
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 200
Log: |Info| CurrentFPS = 83
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 333
Log: |Info| CurrentFPS = 333
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 166
Log: |Info| CurrentFPS = 83
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 124
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 166
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 142
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 333
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 249
Log: |Info| CurrentFPS = 249
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 142
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 249
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 333
Log: |Info| CurrentFPS = 333
Log: |Info| CurrentFPS = 124
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 166
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 333
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 166
Log: |Info| CurrentFPS = 166
Log: |Info| CurrentFPS = 249
Log: |Info| CurrentFPS = 90
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 200
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 76
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 100
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 333
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 166
Log: |Info| CurrentFPS = 200
Log: |Info| CurrentFPS = 200
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 166
Log: |Info| CurrentFPS = 166
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 166
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 249
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 142
Log: |Info| CurrentFPS = 142
Log: |Info| CurrentFPS = 333
Log: |Info| CurrentFPS = 333
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 249
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 999
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 499
Log: |Info| CurrentFPS = 499
